03/02/21 22:43:49:776 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 3704 | SYSTEM level process detected
.83 ************
12/08/20 13:54:39:231 | [INFO] |  |  |  | AGSService |  |  | 6248 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yglqoz
12/08/20 13:54:39:231 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6248 | Sandbox for SLCachePath
12/08/20 13:54:40:297 | [INFO] |  |  |  | AGSService |  |  | 2620 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:40:297 | [INFO] |  |  |  | AGSService |  |  | 2620 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bjfdgz
12/08/20 13:54:40:298 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 2620 | Sandbox for SLCachePath
12/08/20 13:54:41:374 | [INFO] |  |  |  | AGSService |  |  | 2252 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:41:380 | [INFO] |  |  |  | AGSService |  |  | 2252 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_fthira
12/08/20 13:54:41:380 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 2252 | Sandbox for SLCachePath
12/08/20 13:54:42:443 | [INFO] |  |  |  | AGSService |  |  | 5740 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:42:443 | [INFO] |  |  |  | AGSService |  |  | 5740 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_iebnjb
12/08/20 13:54:42:443 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 5740 | Sandbox for SLCachePath
12/08/20 13:54:43:858 | [INFO] |  |  |  | AGSService |  |  | 6588 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:43:858 | [INFO] |  |  |  | AGSService |  |  | 6588 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lgdbcc
12/08/20 13:54:43:859 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6588 | Sandbox for SLCachePath
12/08/20 13:54:44:934 | [INFO] |  |  |  | AGSService |  |  | 1272 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:44:934 | [INFO] |  |  |  | AGSService |  |  | 1272 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oqygnc
12/08/20 13:54:44:935 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 1272 | Sandbox for SLCachePath
12/08/20 13:54:46:008 | [INFO] |  |  |  | AGSService |  |  | 5548 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:46:008 | [INFO] |  |  |  | AGSService |  |  | 5548 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_sbalfd
12/08/20 13:54:46:008 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 5548 | Sandbox for SLCachePath
12/08/20 13:54:47:968 | [INFO] |  |  |  | AGSService |  |  | 9792 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:47:969 | [INFO] |  |  |  | AGSService |  |  | 9792 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yooeix
12/08/20 13:54:47:969 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 9792 | Sandbox for SLCachePath
12/08/20 13:54:49:033 | [INFO] |  |  |  | AGSService |  |  | 9092 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:49:034 | [INFO] |  |  |  | AGSService |  |  | 9092 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_byqjbx
12/08/20 13:54:49:034 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 9092 | Sandbox for SLCachePath
12/08/20 13:54:50:087 | [INFO] |  |  |  | AGSService |  |  | 1828 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:54:50:088 | [INFO] |  |  |  | AGSService |  |  | 1828 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ilnumz
12/08/20 13:54:50:088 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 1828 | Sandbox for SLCachePath
12/08/20 13:56:57:336 | [INFO] |  |  |  | AGSService |  |  | 11104 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:56:57:337 | [INFO] |  |  |  | AGSService |  |  | 11104 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_hiwfxx
12/08/20 13:56:57:337 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 11104 | Sandbox for SLCachePath
12/08/20 13:56:58:448 | [INFO] |  |  |  | AGSService |  |  | 7684 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:56:58:449 | [INFO] |  |  |  | AGSService |  |  | 7684 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ktrkiy
12/08/20 13:56:58:450 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 7684 | Sandbox for SLCachePath
12/08/20 13:56:59:654 | [INFO] |  |  |  | AGSService |  |  | 10864 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:56:59:654 | [INFO] |  |  |  | AGSService |  |  | 10864 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ndlxaz
12/08/20 13:56:59:654 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 10864 | Sandbox for SLCachePath
12/08/20 13:57:23:864 | [INFO] |  |  |  | AGSService |  |  | 11080 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:23:864 | [INFO] |  |  |  | AGSService |  |  | 11080 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ohlrss
12/08/20 13:57:23:865 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 11080 | Sandbox for SLCachePath
